Pic_id,Text,MetaphorOccurrence,Target,Source,SentimentCategory
1.jpg,广告也幽默中外幽默广告鉴赏,1,头,弹簧,1
2.jpg,爱生活爱低碳，低碳出行从我开始,1,自行车,茎,1
3.jpg,为了您和他人健康一请勿高空抛物它的杀伤力远大于想象严禁高空抛物创建和谐社区,1,香蕉,导弹,0
4.jpg,你衣服上的是我儿子,1,衣服,貂,1
5.jpg,陪你成长伴你老去多抽点时间陪伴他,1,时间,钟表,1
6.jpg,绿色生活低碳出行可为您点费,0,,,1
7.jpg,每次使用一次性木筷就是在吃掉一片森林,1,筷子,森林,0
8.jpg,乐于助人手有余香，让道德文明芬芳你我,1,人,烟雾,1
9.jpg,来自剩角饭菜打包有爱所有的食物都是我们心中最完美的食物,1,蔬菜,鱼,1
10.jpg,吸烟有害健康,1,肺,烟雾,1
11.jpg,不传疫,0,,,0
12.jpg,让所有动物都能在星空下行走,1,大象,星空,1
13.jpg,珍爱生命请勿酒驾拒绝酒驾不要心存饶幸你的不负责任可能就是别人一生的伤痛安全交通从我做起珍爱生命拒绝酒驾请勿酒驾不要心存侥幸你的不负责任可能就是别人一生的伤痛,0,,,0
14.jpg,节能减排,1,灯,叶子,1
15.jpg,前进,0,,,0
16.jpg,诚 厚道经商,1,文字,文字,0
17.jpg,珍惜生命拒绝烟草禁止吸烟，吸烟有害健康,1,肺,树木,0
18.jpg,还不满足喝,0,,,0
19.jpg,禁止酒驾珍爱生命酒驾无路珍爱生命,1,文字,酒,0
20.jpg,年世界环境日中国主题低碳减排绿色生活,1,微笑,云,1
21.jpg,保护动物,0,,,1
22.jpg,明天会更好,0,,,0
23.jpg,拒绝网终景门网络漫骂仿若利刀数于每个网民的共网通,1,键盘,枪,1
24.jpg,父亲家父爱重如山谢谢您做的一超父亲就是现实版,0,,,0
25.jpg,保力直角大投羊愿被世界温茶以待,0,,,1
26.jpg,食健韭菜具有补维素和钾合量很高提神的功效,1,月饼,韭菜,0
27.jpg,小红书,0,,,0
28.jpg,节约用电,1,灯,地球,1
29.jpg,全国节能宣传周海报支持定制节能降耗保卫蓝天节能,0,,,0
30.jpg,世界和平仍然有些战隆,1,鸽子,人,1
31.jpg,善于分类各就各位拉圾分类城市更美丽有害垃圾,1,文字,垃圾桶,1
32.jpg,小珍生命请烟园世界无烟日关爱健康让我们走得更远高精分层素材更多作品请进入主页,1,形状,香烟,1
33.jpg,节约用水倩环用水瓣分析只要注意改掉不良的习低家庭乾能节水左右节约用水一满水微不足道一个月的水量足以供一个人的生活所需,0,,,0
34.jpg,你的不会痛吗从我做心文明餐桌杜绝浪斑粮食限文明餐桌从我做起,1,心脏,粮食,0
35.jpg,远离毒品珍爱生命毒品是人类社会的公害,0,,,0
36.jpg,保护环境低碳生活镭脚绿色守护地球让我们起守护地球,0,,,0
37.jpg,美我们共同努力,1,高楼,刷子,1
38.jpg,节约用电,1,灯泡,水,1
39.jpg,中国精神中国形象中国文化中国表达禾气致祥家和万事兴一洋文明封新凤公基广告,1,文字,刺绣,1
40.jpg,好胃口了结你,0,,,0
41.jpg,世界自然保护种红色名录交现人与白低种活共处,1,鸟,自然景色,0
