,Pic_id,Text,MetaphorCategory,Target,Source,SentimentCategory
0,1.jpg,heineken,1,glass,ice,0
1,2.jpg,energy.finishnn,0,,,0
2,3.jpg,is faulty vision embarrassing youdr.lenz.nspecialist in the visual problems for monstersspecial frames for one eyed monsters.three eyed.and.monsters,0,,,1
3,4.jpg,the ultimate in fantasy.ultimal.the original.now available for the apple.now available for the atari.,0,,,1
4,5.jpg,portable pulverizersofficial licensed product.get behind the wheel and crush the competitionsix thunderous monster trucks pulverize everything in their path on the toughest circuits in americadriving turboforceexplosive nitro bursts and 1500 horsepower fire up your mean monster machinechoose your favorite ushra monsster track.beef up your 44at the shop.carcrunchingmetalmashing action.,0,,,1
5,6.jpg,stuck in the wrong job,1,man,box,1
6,7.jpg,we see the job you do not.monster,1,Wrench,Buildings,1
7,8.jpg,same fuel.,1,Demon,Molecules,1
8,9.jpg,a fast octacore processor,1,processor,Null,1
9,10.jpg,,0,,,1
10,11.jpg,android 4.3 with guaranteed upgrade.,0,,,1
11,12.jpg,motorizr,1,woman,photographs,0
12,13.jpg,motorola.whatever did they do...berore cellphones,1,phone,painting,0
13,14.jpg,360 degrees of integration.within the information flowing between citizens.responders and agencies is the intelligence that builds a sager city.motorola solutions can help you collect more of it.make it actionable and scecurely distribute it across missioncritical devices and easytomanage networks.its the technology and expertise that turns noise into informationinformation into intelligenceandintelligence into sagety.and its how to do the avsolute most withlessbuild safer cities and thriving communities.safer cities.thriving communities.,1,A dragon,cords like a phone to make a dragon,1
14,15.jpg,slim 14.8mm.name code.n,1,city scene,rounded,1
15,16.jpg,shatteredstories,1,turbo 2,brokenness,1
16,17.jpg,,1,nutrition,tools,1
17,18.jpg,mountain dewll do it fer yewmountain dew.,0,,,1
18,19.jpg,the dark knight rises.nin theaters july 20.go inside.gotham city.and rule the streets with dew.mtn dew.,1,mountain dew,Null,1
19,20.jpg,,1,Soda,Null,1
20,21.jpg,do the dew.,1,Text,Null,0
21,22.jpg,mountain dew.,1,mountain dew,reality,0
22,23.jpg,darr.keaage.jeet.hai.mountain dew.,1,mountain dew,Null,1
23,24.jpg,tastes like pepsi.kicks like boom.kick.pepsi.,1,pepsi kick,energy,0
24,25.jpg,mountain dew.,1,mountain dew,Null,0
25,26.jpg,dewcision.votebajablast.votepitchblack.challenge ends 6.8.2016,1,dew,Null,0
26,27.jpg,do the dew.mountain dew,1,Mountain dew,Null,1
27,28.jpg,meet the ketchups.heinz.,1,People,bottles,0
28,29.jpg,mountain dew.,1,Mountain Dew,Null,0
29,30.jpg,its not who you know that counts.its whos paying the tab.erveza.mportao.live one cerveza at a time.cerveza.,0,,,1
30,31.jpg,genesee.real.old fashioned.goodness,0,,,1
31,32.jpg,the natural truth.about.dont eat anything your grandma wouldnt recognize.made from stone ground whole mustard sddes.100natural no caloriesfat or gluten.just flavor.see more natural truths.,0,,,0
32,33.jpg,maille.a unique taste since1 1747.,0,,,0
33,34.jpg,tomato ketchup.bicycle,1,mustard,melted,0
34,35.jpg,eocksroll your food,1,cream,egg,0
35,36.jpg,eleven.onlyn,1,seven eleven,cheap,0
36,37.jpg,,1,sunflower oil,Null,0
37,38.jpg,colmans.mustard.,0,,,0
38,39.jpg,what you see...whar you get,1,cheeseburgers,Null,0
39,40.jpg,meet the ketchuos.heinsz.tomato ketchup.organic.simply heinz.,1,human,ketchups,0
40,41.jpg,golden flavor.makes milwaukees finest beer even finerblatz beer.milwaukee.,0,,,1
41,42.jpg,guinness.draught,0,,,1
42,43.jpg,toasted vegetable.ritz.ripe for the snackin.introducing roasted vegetable ritzwith real vegetables roasted in for a delicious twist on a classic taste.ritz it up.,1,crackers,plant,0
43,44.jpg,ha en riktigt kall sommar.,1,beer,Null,1
44,45.jpg,motor cars 1910packard motor car company.,0,,,0
45,46.jpg,freege it.drink it.with crushed fruits with fruit juices.,1,cow,can,0
46,47.jpg,how to make a hamburger happysay cheesemake a happyburger with snack mate cheddar cheese of bright mellow cheese.make other burgers happy with snack mate french onion.american or.pimiento cheese spreadsmade only bu nabisco with delicious pasteruized processed cheese.instant goodmake a happyburger.youll never eat a blah burger again,1,cheese,pleasure,0
47,48.jpg,take a look at this fruit cake.undeeda bakers fruit cake.,1,cake,Null,1
48,49.jpg,starloro is backdont miss.chris claremont and carmine infantino.continue the starspanning sage of the most cosmic.crusader of allmarvel preview14on sale soon,0,,,1
49,50.jpg,sweet music for young familiesone plan that insures everything.insurance sationwide.,1,one,room,1
50,51.jpg,,1,water,Null,0
51,52.jpg,,0,,,1
52,53.jpg,the laws of gravity dont apply to euphoria.warren maxims nature valley.warren maxims nature valley bar.wheres yours,0,,,0
53,54.jpg,i do it my way.,1,Text,Plants,1
54,55.jpg,,1,bottle,tree,1
55,56.jpg,ultra creative.cleverinspirational ads.100,1,frog,spray,1
56,57.jpg,nothing would be more tiresome than eating and drinking if god had not made them a pleasure as well as a necessity.where king meets murray.,1,head,,1
57,58.jpg,buckler.vitamine buckler oo,1,bottle,widened,0
58,59.jpg,,0,,,1
59,60.jpg,bsolut vodka.absolut perfection.,1,light,bent,1
60,61.jpg,fly turkish.app store.turkish airlines.,1,fingers,faces,1
61,62.jpg,mama sbarros.the happiest bus in new york.,0,,,1
62,63.jpg,nestle pure life service.committed to serving you better.we ensure prompt and timely delivery of nestle pure life to your doorstep and are always committed to giving you our best.for free delivery call now111123333,1,water,Null,1
63,64.jpg,blend.karlsberg,1,beer,baby,1
64,65.jpg,have a breakhave a kitkat,1,man,bar,0
65,66.jpg,fridge stuffer.its all about the beer.heineken.,1,bow,label,0
66,67.jpg,togetheiness.dreyersn,0,,,1
67,68.jpg,efortul transforma.,0,,,1
68,69.jpg,nescafe.surprise,1,steam,Null,1
69,70.jpg,stress cramping yours style,1,body,bent,1
70,71.jpg,absolut constriction.absolut.,1,snake,bottle,0
71,72.jpg,nestle.pure life,1,water,Null,1
72,73.jpg,re vittelisezvous,0,,,0
73,74.jpg,perrier,0,,,1
74,75.jpg,join the hydration movements.pure life.nestlen,1,water,Null,0
75,76.jpg,nestle.pure life.arrowhead.deerpark.acqua panna.natural spring water.nestea.resource.sweet leaf.sweet tea.spring.zephythils.,1,background,water,0
76,77.jpg,,0,,,1
77,78.jpg,neutrogena.declaaares war on complexioon troublesenlist today.get your wild wonderful battle ribbon pinfreeneutrogena.,0,,,1
78,79.jpg,neutrogena.pure sunshine.,0,,,1
79,80.jpg,neutrogena.new makeupremoval oils.hydrating variant with cucumber extract.deep clean.brightening variant with mulberry extract.,1,water,Null,1
80,81.jpg,reveal deep clean and brighter skin.neutrogena.deep clean.brightening mulberry ultra foam cleanser.,1,water,Null,1
81,82.jpg,topmodel4,0,,,0
